301,2,3,2,100
-2,0,0,0,0,0,0,0
-2,7.3704e-07,0.00022074,0.00022074,0.044001,0.044001,0,0
-2,5.8668e-06,0.00087708,0.00087708,0.087119,0.087119,0,0
-2,1.9701e-05,0.0019602,0.0019602,0.12936,0.12936,0,0
-2,4.6464e-05,0.0034614,0.0034614,0.17073,0.17073,0,0
-1.9999,9.0293e-05,0.0053719,0.0053719,0.21123,0.21123,0,0
-1.9998,0.00015524,0.0076832,0.0076832,0.25088,0.25088,0,0
-1.9998,0.00024526,0.010387,0.010387,0.28967,0.28967,0,0
-1.9996,0.00036425,0.013474,0.013474,0.32762,0.32762,0,0
-1.9995,0.00051599,0.016936,0.016936,0.36472,0.36472,0,0
-1.9993,0.0007042,0.020765,0.020765,0.40099,0.40099,0,0
-1.9991,0.0009325,0.024953,0.024953,0.43643,0.43643,0,0
-1.9988,0.0012044,0.029491,0.029491,0.47104,0.47104,0,0
-1.9985,0.0015235,0.034371,0.034371,0.50484,0.50484,0,0
-1.9981,0.001893,0.039585,0.039585,0.53782,0.53782,0,0
-1.9977,0.0023162,0.045125,0.045125,0.57,0.57,0,0
-1.9972,0.0027965,0.050983,0.050983,0.60138,0.60138,0,0
-1.9967,0.0033369,0.05715,0.05715,0.63196,0.63196,0,0
-1.9961,0.0039405,0.063619,0.063619,0.66176,0.66176,0,0
-1.9954,0.0046103,0.070383,0.070383,0.69077,0.69077,0,0
-1.9947,0.0053491,0.077432,0.077432,0.71901,0.71901,0,0
-1.9938,0.0061599,0.08476,0.08476,0.74648,0.74648,0,0
-1.993,0.0070452,0.092359,0.092359,0.77318,0.77318,0,0
-1.992,0.0080079,0.10022,0.10022,0.79913,0.79913,0,0
-1.9909,0.0090505,0.10834,0.10834,0.82432,0.82432,0,0
-1.9898,0.010176,0.11671,0.11671,0.84877,0.84877,0,0
-1.9886,0.011385,0.12531,0.12531,0.87247,0.87247,0,0
-1.9873,0.012683,0.13415,0.13415,0.89544,0.89544,0,0
-1.9859,0.014069,0.14322,0.14322,0.91768,0.91768,0,0
-1.9845,0.015548,0.1525,0.1525,0.9392,0.9392,0,0
-1.9829,0.01712,0.162,0.162,0.96,0.96,0,0
-1.9812,0.018788,0.1717,0.1717,0.98009,0.98009,0,0
-1.9794,0.020555,0.1816,0.1816,0.99947,0.99947,0,0
-1.9776,0.022421,0.19169,0.19169,1.0182,1.0182,0,0
-1.9756,0.024389,0.20196,0.20196,1.0362,1.0362,0,0
-1.9735,0.026461,0.21241,0.21241,1.0535,1.0535,0,0
-1.9714,0.028638,0.22303,0.22303,1.0701,1.0701,0,0
-1.9691,0.030922,0.23381,0.23381,1.086,1.086,0,0
-1.9667,0.033314,0.24475,0.24475,1.1013,1.1013,0,0
-1.9642,0.035817,0.25583,0.25583,1.1159,1.1159,0,0
-1.9616,0.038432,0.26706,0.26706,1.1299,1.1299,0,0
